Alignment	Hits
Perf	4876585
AT	5178
KQ	1799
HS	126
AS	3802
IM	1756
LV	2760
IS	537
DE	6326
MS	79
EM	56
CS	929
FS	553
AV	3992
KS	305
EK	2080
HQ	2568
DN	2218
AE	1153
IT	1656
ST	5138
DS	266
LS	1066
MV	1099
EG	1295
FY	1293
IV	4033
KR	2784
KN	2132
GT	159
IL	2086
RS	1125
GS	2181
DY	216
AP	2048
NS	3490
LM	2107
EQ	2056
RT	370
HN	1130
FL	1811
AG	2513
IN	576
PT	1564
MT	611
PS	2899
QR	1332
LP	1134
PQ	1183
HY	845
AL	244
KT	957
GR	822
DG	1260
NP	117
HP	430
NY	381
HL	424
CY	257
LQ	1037
FV	377
LR	537
DV	446
NT	1503
EV	738
CG	301
CN	38
RW	113
AD	808
KV	145
HR	794
MR	155
CF	209
GP	122
QV	132
CL	63
FI	504
IK	258
SY	250
IR	133
CR	273
QS	228
KL	145
GV	971
KM	437
ER	200
CW	100
AC	61
QT	186
PR	382
AH	44
DH	339
HV	26
FM	45
AQ	168
LW	138
FT	67
AF	66
AM	69
EH	105
GL	83
HK	93
SV	272
GY	29
LY	118
ES	281
AK	204
EN	292
IP	114
PY	38
RY	48
PV	131
SW	70
QY	69
TV	374
GH	42
CI	36
NV	103
GQ	107
DF	36
AI	220
DT	169
LT	255
EL	148
DP	112
GW	39
AR	130
MP	30
EI	85
GN	213
VY	73
FR	37
GI	78
RV	102
FQ	27
FH	50
KP	169
EP	140
AN	169
GK	148
LN	68
NR	202
DK	193
DI	65
CH	31
NQ	187
ET	213
KW	16
CK	10
FN	28
DQ	162
HI	27
EW	14
VW	24
IQ	68
AY	48
DL	69
IY	55
WY	33
CM	11
FP	45
MQ	73
CQ	7
FW	37
CT	58
MN	44
FG	27
TY	46
HT	72
EY	52
DM	15
MW	8
KY	40
EF	27
CV	38
FK	23
DR	64
CD	22
CP	17
AW	18
HM	7
PW	16
GM	25
HW	9
QW	19
MY	14
TW	16
DW	5
NW	12
CE	12
IW	13
AX	1
GX	2
LX	2
SX	1
