Transcript	geneID	Gene_stable_ID	Gene_name	AAs	OrthoGroup	Isoelectric_point	RNAseq_TPM	Riboseq_TPM	AgeNode	DuplNode	MGCAT	blastn	AA_NEGATIVE	PNe	PSe	PNo	PSo	Gene_description
FBtr0006151	FBgn0000056	FBgn0000056	Adhr	272	OG0010268	4.85558259420313	0	0	N5	No_dupl	TRUE	TRUE	11.3970588235294	617	201	2	3	Adh-related
FBtr0070000	FBgn0031081	FBgn0031081	Nep3	786	OG0004498	6.57350398145556	5.25029103072236	2.20317677499002	N8	No_dupl	TRUE	TRUE	11.9592875318066	1781	579	3	31	Neprilysin 3
FBtr0070002	FBgn0031085	FBgn0031085	CG9570	210	OG0010507	5.50939969477343	159.142629325668	26.2651864754515	N4	No_dupl	TRUE	TRUE	12.8571428571429	462	170	3	1	
FBtr0070003	FBgn0062565	FBgn0062565	Or19b	387	OG0000034	9.36387634713628	0.0747632910728289	0.0768826910292586	N6	N0	TRUE	TRUE	5.16795865633074	856	307	4	5	Odorant receptor 19b
FBtr0070006	FBgn0031089	FBgn0031089	CG9572	441	OG0006699	7.26356286941214	92.8424595250706	44.4049563578198	Conserved	No_dupl	TRUE	TRUE	8.84353741496599	975	350	0	4	
FBtr0070007	FBgn0031092	FBgn0031092	CG9577	312	OG0002886	7.07753663443723	51.7068473770958	48.7157354792826	Conserved	No_dupl	TRUE	TRUE	11.2179487179487	683	255	2	1	
FBtr0070008	FBgn0031094	FBgn0031094	CG9578	272	OG0004705	6.08791398295404	20.098887529875	7.60235469463015	Conserved	No_dupl	TRUE	TRUE	14.7058823529412	619	199	0	0	
FBtr0070026	FBgn0031093	FBgn0031093	CG9581	545	OG0001600	6.42356969636681	60.0498118627361	16.8806466178875	Conserved	No_dupl	TRUE	TRUE	11.0091743119266	1197	440	0	0	
FBtr0070027	FBgn0031091	FBgn0031091	Phf7	520	OG0006446	7.09444239127355	7.5270666700868	3.69080820289405	N7	No_dupl	TRUE	TRUE	11.7307692307692	1151	411	4	2	PHD finger protein 7
FBtr0070028	FBgn0031090	FBgn0031090	Rab35	201	OG0004887	8.71729646336669	15.824121788292	3.41445966759833	Conserved	No_dupl	TRUE	TRUE	13.4328358208955	451	154	0	2	Rab35
FBtr0070029	FBgn0041626	FBgn0041626	Or19a	387	OG0000034	9.37601338990737	0.0249210970242763	0.0650023634971436	N6	N0	FALSE	TRUE	5.16795865633075	857	306	0	0	Odorant receptor 19a
FBtr0070032	FBgn0031086	FBgn0031086	fd19B	260	OG0000213	9.61827418843661	0	0	Conserved	N6	TRUE	TRUE	6.15384615384615	594	188	3	5	forkhead domain 19B
FBtr0070035	FBgn0031082	FBgn0031082	CG17003	287	OG0000516	9.76375595992292	33.8642611532219	4.35701203416182	Conserved	N5	TRUE	TRUE	8.36236933797909	640	223	3	5	
